"","participant","fan","team","testType","testTime","PC"
"204",11,"FCB","BVB","Tor",1,0.833333333333333
"205",12,"FCB","BVB","Tor",1,1
"206",13,"FCB","BVB","Tor",1,0.833333333333333
"207",14,"FCB","BVB","Tor",1,1
"208",15,"FCB","BVB","Tor",1,1
"209",16,"FCB","BVB","Tor",1,0.666666666666667
"210",17,"FCB","BVB","Tor",1,1
"211",18,"FCB","BVB","Tor",1,1
"212",19,"FCB","BVB","Tor",1,0.6
"213",20,"FCB","BVB","Tor",1,1
"214",22,"FCB","BVB","Tor",1,0.75
"215",26,"FCB","BVB","Tor",1,0.6
"216",31,"FCB","BVB","Tor",1,1
"217",35,"FCB","BVB","Tor",1,1
"218",39,"FCB","BVB","Tor",1,1
"219",41,"FCB","BVB","Tor",1,1
"220",43,"FCB","BVB","Tor",1,0.75
"221",45,"FCB","BVB","Tor",1,0.333333333333333
"222",47,"FCB","BVB","Tor",1,0.75
"223",48,"FCB","BVB","Tor",1,0.8
"224",50,"FCB","BVB","Tor",1,1
"225",51,"FCB","BVB","Tor",1,1
"226",55,"FCB","BVB","Tor",1,1
"227",56,"FCB","BVB","Tor",1,1
"228",57,"FCB","BVB","Tor",1,0.8
"229",59,"FCB","BVB","Tor",1,1
"230",61,"FCB","BVB","Tor",1,0.5
"231",1,"BVB","FCB","Tor",1,0.666666666666667
"232",3,"BVB","FCB","Tor",1,0.8
"233",5,"BVB","FCB","Tor",1,0.5
"234",7,"BVB","FCB","Tor",1,0.833333333333333
"235",23,"BVB","FCB","Tor",1,1
"236",24,"BVB","FCB","Tor",1,0.857142857142857
"237",25,"BVB","FCB","Tor",1,0.25
"238",28,"BVB","FCB","Tor",1,0.714285714285714
"239",29,"BVB","FCB","Tor",1,1
"240",30,"BVB","FCB","Tor",1,0.857142857142857
"241",32,"BVB","FCB","Tor",1,1
"242",33,"BVB","FCB","Tor",1,0.75
"243",34,"BVB","FCB","Tor",1,0.714285714285714
"244",36,"BVB","FCB","Tor",1,0.5
"245",38,"BVB","FCB","Tor",1,0.8
"246",40,"BVB","FCB","Tor",1,0.6
"247",42,"BVB","FCB","Tor",1,0.75
"248",44,"BVB","FCB","Tor",1,0.666666666666667
"249",52,"BVB","FCB","Tor",1,0.833333333333333
"250",54,"BVB","FCB","Tor",1,0
"251",58,"BVB","FCB","Tor",1,0.666666666666667
"252",60,"BVB","FCB","Tor",1,1
"253",2,"FCB","FCB","Tor",1,0.285714285714286
"254",4,"FCB","FCB","Tor",1,0
"255",6,"FCB","FCB","Tor",1,0.5
"256",8,"FCB","FCB","Tor",1,1
"257",9,"FCB","FCB","Tor",1,0.333333333333333
"258",10,"FCB","FCB","Tor",1,0.8
"259",11,"FCB","FCB","Tor",1,1
"260",13,"FCB","FCB","Tor",1,0.833333333333333
"261",14,"FCB","FCB","Tor",1,0.8
"262",15,"FCB","FCB","Tor",1,0.666666666666667
"263",16,"FCB","FCB","Tor",1,0.666666666666667
"264",17,"FCB","FCB","Tor",1,1
"265",18,"FCB","FCB","Tor",1,1
"266",19,"FCB","FCB","Tor",1,1
"267",20,"FCB","FCB","Tor",1,0
"268",22,"FCB","FCB","Tor",1,0.5
"269",26,"FCB","FCB","Tor",1,0.5
"270",31,"FCB","FCB","Tor",1,0.714285714285714
"271",35,"FCB","FCB","Tor",1,0.857142857142857
"272",39,"FCB","FCB","Tor",1,0.857142857142857
"273",41,"FCB","FCB","Tor",1,0.666666666666667
"274",43,"FCB","FCB","Tor",1,0.5
"275",45,"FCB","FCB","Tor",1,0.666666666666667
"276",47,"FCB","FCB","Tor",1,1
"277",48,"FCB","FCB","Tor",1,0.714285714285714
"278",50,"FCB","FCB","Tor",1,1
"279",51,"FCB","FCB","Tor",1,1
"280",55,"FCB","FCB","Tor",1,0.8
"281",56,"FCB","FCB","Tor",1,0.857142857142857
"282",57,"FCB","FCB","Tor",1,0.428571428571429
"283",59,"FCB","FCB","Tor",1,0.5
"284",61,"FCB","FCB","Tor",1,0.571428571428571
"285",3,"BVB","BVB","Ecken",2,1
"286",5,"BVB","BVB","Ecken",2,1
"287",7,"BVB","BVB","Ecken",2,0
"288",24,"BVB","BVB","Ecken",2,0
"289",28,"BVB","BVB","Ecken",2,0.25
"290",30,"BVB","BVB","Ecken",2,0.25
